Rank,Title,Author,Rating_raw,Score_raw,Link,Description,Genre_list,Page_raw,Publication_raw,CurrentlyRead_raw,toRead_raw,AuthorStats_raw,Rating5_raw,Rating4_raw,Rating3_raw,Rating2_raw,Rating1_raw
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.34 avg rating — 9,459,570 ratings","score: 4,132,439",https://www.goodreads.com/book/show/2767052-the-hunger-games,"Winning means fame and fortune. Losing means certain death. The Hunger Games have begun. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before-and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weigh survival against humanity and life against love.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Dystopia'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Adventure'}]","374 pages, Hardcover","First published September 14, 2008",103978 people are currently reading,1754961 people want to read,56 books116k followers,"5,164,737 (54%)","2,875,415 (30%)","1,059,153 (11%)","232,665 (2%)","127,555 (1%)"
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling," 4.50 avg rating — 3,652,588 ratings","score: 3,232,616",https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix,"It's official: the evil Lord Voldemort has returned. His influence is suddenly everywhere in the Wizarding world, and his former allies, the Death Eaters, are returning to his side in droves. In response, the Order of the Phoenix, which worked to stop him during his last rise to power, has reconvened. This time, all of the adults Harry trusts have joined in. And even though Harry is at the center of many of their plans - Voldemort is intent on killing him, after all - they want so badly to protect him that they are keeping him completely out of the loop. Problems are cropping up at Hogwarts, too, where government officials are meddling in just about everything. And just because Voldemort and the Death Eaters are threatening open warfare does not mean that fifth-year students get out of their exams. Meanwhile, Harry's powerful connection to Voldemort seems to be growing even stronger, as he realizes that he has direct access to the Dark Lord's mind. It's time for Harry and his friends to take drastic action, but the course they choose will have terrible unforeseen consequences. Truly dangerous times have arrived in the fifth Harry Potter novel, but it never loses the trademark fun, excitement, and wonder at the possibilities of magic.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Magic'}, {'Genre_list': 'Audiobook'}, {'Genre_list': 'Childrens'}, {'Genre_list': 'Adventure'}]","896 pages, Hardcover","First published June 21, 2003",83536 people are currently reading,574815 people want to read,597 books231k followers,"2,338,144 (64%)","921,747 (25%)","314,261 (8%)","55,020 (1%)","23,429 (<1%)"
3,Pride and Prejudice,Jane Austen," 4.29 avg rating — 4,567,522 ratings","score: 2,864,734",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,"Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.Alternate cover edition of ISBN 9780679783268","[{'Genre_list': 'Classics'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Historical'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Audiobook'}]","279 pages, Paperback","First published January 28, 1813",234657 people are currently reading,2540377 people want to read,"3,629 books71.7k followers","2,514,462 (55%)","1,241,104 (27%)","545,328 (11%)","160,251 (3%)","106,354 (2%)"
4,To Kill a Mockingbird,Harper Lee," 4.26 avg rating — 6,614,685 ratings","score: 2,540,956",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,"""Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.""A lawyer's advice to his children as he defends the real mockingbird of Harper Lee's classic novel - a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with exuberant humour the irrationality of adult attitudes to race and class in the Deep South of the 1930s. The conscience of a town steeped in prejudice, violence and hypocrisy is pricked by the stamina of one man's struggle for justice. But the weight of history will only tolerate so much.""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'School'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Historical'}]","323 pages, Paperback","First published July 11, 1960",94001 people are currently reading,2635637 people want to read,43 books14.2k followers,"3,410,965 (51%)","1,978,559 (29%)","875,095 (13%)","229,326 (3%)","120,710 (1%)"
5,The Book Thief,Markus Zusak," 4.39 avg rating — 2,772,833 ratings","score: 1,918,977",https://www.goodreads.com/book/show/19063.The_Book_Thief,"Librarian's note: An alternate cover edition can be found hereIt is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordian-playing foster father, learns to read. Soon she is stealing books from Nazi book-burnings, the mayor's wife's library, wherever there are books to be found.But these are dangerous times. When Liesel's foster family hides a Jew in their basement, Liesel's world is both opened up, and closed down.In superbly crafted writing that burns with intensity, award-winning author Markus Zusak has given us one of the most enduring stories of our time.(Note: this title was not published as YA fiction)","[{'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Historical'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'War'}]","592 pages, Kindle Edition","First published September 1, 2005",98110 people are currently reading,2228580 people want to read,35 books40.4k followers,"1,608,394 (58%)","778,786 (28%)","272,550 (9%)","77,753 (2%)","35,346 (1%)"
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer," 3.67 avg rating — 7,059,852 ratings","score: 1,730,295",https://www.goodreads.com/book/show/41865.Twilight,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him - and I didn't know how dominant that part might be - that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Vampires'}, {'Genre_list': 'Paranormal'}, {'Genre_list': 'Paranormal Romance'}]","498 pages, Paperback","First published October 5, 2005",56812 people are currently reading,1377170 people want to read,127 books78.7k followers,"2,533,559 (35%)","1,665,531 (23%)","1,486,341 (21%)","714,573 (10%)","659,826 (9%)"
7,Animal Farm,George Orwell,"really liked it 4.00 avg rating — 4,286,771 ratings","score: 1,650,833",https://www.goodreads.com/book/show/170448.Animal_Farm,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Dystopia'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'School'}, {'Genre_list': 'Politics'}, {'Genre_list': 'Literature'}]","141 pages, Mass Market Paperback","First published August 17, 1945",58936 people are currently reading,1458702 people want to read,"1,365 books48.3k followers","1,631,275 (38%)","1,508,235 (35%)","798,687 (18%)","231,030 (5%)","117,546 (2%)"
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien," 4.61 avg rating — 140,537 ratings","score: 1,603,106",https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,"These magical adaptations became instant classics when they were first broadcast on BBC Radio 4, and continue to delight today. Tolkien's epic tale of Middle-earth has all the classic ingredients of fantasy and adventure: dwarves, elves, goblins and trolls, a terrifying dragon, a great wizard, a fearsome evil, a perilous quest and a dramatic climax. With an all-star cast including Ian Holm, Michael Hordern, Robert Stephens, John le Mesurier and Bill Nighy, these enchanting dramatisations are a must for all Tolkien fans. 'For those who find the books too long-winded and the films too noisy, this is the perfect way to assimilate the myth and magic of Middle-earth' - Guardian.19 CDs. 17 hrs 30 mins.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Adventure'}, {'Genre_list': 'Science Fiction Fantasy'}, {'Genre_list': 'Epic Fantasy'}, {'Genre_list': 'High Fantasy'}]","1728 pages, Mass Market Paperback","First published January 1, 1954",2897 people are currently reading,87923 people want to read,516 books75.3k followers,"101,381 (72%)","28,183 (20%)","7,945 (5%)","1,838 (1%)","1,190 (<1%)"
9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis," 4.28 avg rating — 690,938 ratings","score: 1,501,234",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,"Librarian note: An alternate cover for this edition can be found here: 2005.Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.This edition presents all seven books—unabridged—in one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Childrens'}, {'Genre_list': 'Christian'}, {'Genre_list': 'Adventure'}]","767 pages, Paperback","First published January 1, 1956",19248 people are currently reading,323960 people want to read,"1,260 books45.9k followers","348,512 (50%)","220,192 (31%)","95,959 (13%)","19,544 (2%)","6,729 (<1%)"
10,The Fault in Our Stars,John Green," 4.13 avg rating — 5,525,572 ratings","score: 1,390,805",https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Realistic Fiction'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Coming Of Age'}]","313 pages, Hardcover","First published January 10, 2012",67480 people are currently reading,1954826 people want to read,89 books311k followers,"2,533,722 (45%)","1,674,166 (30%)","926,661 (16%)","262,109 (4%)","128,909 (2%)"
